TIERS_FACTURABLE;TIERS_ASSOCIE;CODE_TRANSMISSION;REGROUPEMENT
MFP SRI VERSAILLES (RO 947810599);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP SRI VERSAILLES (RO 947810599);MGEN ACCES SANTE (RC 27011000);;
MFP SRI VERSAILLES (RO 947810599);CMU CPAM (RC 99999997);M;89
MFP SRI VERSAILLES (RO 947810599);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP SRI VERSAILLES (RO 947810599);MMJ (RC 28300000);;
MFP SRI VERSAILLES (RO 947810599);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP SRI VERSAILLES (RO 947810599);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP SRI VERSAILLES (RO 947810599);AME PARTIELLE (RC 75500017);;
MFP SRI VERSAILLES (RO 947810599);MMJ (RC 28100000);;
MFP SRI VERSAILLES (RO 947810599);MMJ (RC 28400000);;
MFP SRI VERSAILLES (RO 947810599);CMU AUTRES (RC 88888888);M;89
MFP SRI VERSAILLES (RO 947810599);MUTUELLE SORUAL (RC 67100149);;
MFP SRI VERSAILLES (RO 947810599);MMJ (RC 28200000);;
MFP SRI VERSAILLES (RO 947810599);MGEN INTERNATIONALE (RC 27777777);;
MFP SRI VERSAILLES (RO 947810599);MFP MCF RC SEUL (RC 75041758);;
MFP 94751 DE REFERENCE (RO 94751);MGEN ACCES SANTE (RC 27011000);;
MFP 94751 DE REFERENCE (RO 94751);MMJ (RC 28100000);;
MFP 94751 DE REFERENCE (RO 94751);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP 94751 DE REFERENCE (RO 94751);MUTUELLE SORUAL (RC 67100149);;
MFP 94751 DE REFERENCE (RO 94751);MFP MCF RC SEUL (RC 75041758);;
MFP 94751 DE REFERENCE (RO 94751);CMU CPAM (RC 99999997);M;89
MFP 94751 DE REFERENCE (RO 94751);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP 94751 DE REFERENCE (RO 94751);AME PARTIELLE (RC 75500017);;
MFP 94751 DE REFERENCE (RO 94751);MGEN INTERNATIONALE (RC 27777777);;
MFP 94751 DE REFERENCE (RO 94751);CMU SORTANT (RC 55555551);;0
MFP 94751 DE REFERENCE (RO 94751);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP 94751 DE REFERENCE (RO 94751);CMU AUTRES (RC 88888888);M;89
MFP 94751 DE REFERENCE (RO 94751);MMJ (RC 28400000);;
MFP 94751 DE REFERENCE (RO 94751);MMJ (RC 28300000);;
MFP 94751 DE REFERENCE (RO 94751);MMJ (RC 28200000);;
MFP 94751 DE REFERENCE (RO 94751);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP 94781 DE REFERENCE (RO 94781);MMJ (RC 28100000);;
MFP 94781 DE REFERENCE (RO 94781);MMJ (RC 28200000);;
MFP 94781 DE REFERENCE (RO 94781);MGEN ACCES SANTE (RC 27011000);;
MFP 94781 DE REFERENCE (RO 94781);MUTUELLE SORUAL (RC 67100149);;
MFP 94781 DE REFERENCE (RO 94781);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP 94781 DE REFERENCE (RO 94781);MFP MCF RC SEUL (RC 75041758);;
MFP 94781 DE REFERENCE (RO 94781);CMU CPAM (RC 99999997);M;89
MFP 94781 DE REFERENCE (RO 94781);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP 94781 DE REFERENCE (RO 94781);AME PARTIELLE (RC 75500017);;
MFP 94781 DE REFERENCE (RO 94781);MGEN INTERNATIONALE (RC 27777777);;
MFP 94781 DE REFERENCE (RO 94781);CMU SORTANT (RC 55555551);;0
MFP 94781 DE REFERENCE (RO 94781);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP 94781 DE REFERENCE (RO 94781);CMU AUTRES (RC 88888888);M;89
MFP 94781 DE REFERENCE (RO 94781);MMJ (RC 28400000);;
MFP 94781 DE REFERENCE (RO 94781);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP 94781 DE REFERENCE (RO 94781);MMJ (RC 28300000);;
MFP 94911 DE REFERENCE (RO 94911);MFP MCF RC SEUL (RC 75041758);;
MFP 94911 DE REFERENCE (RO 94911);MMJ (RC 28400000);;
MFP 94911 DE REFERENCE (RO 94911);CMU AUTRES (RC 88888888);M;89
MFP 94911 DE REFERENCE (RO 94911);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP 94911 DE REFERENCE (RO 94911);CMU SORTANT (RC 55555551);;0
MFP 94911 DE REFERENCE (RO 94911);MGEN INTERNATIONALE (RC 27777777);;
MFP 94911 DE REFERENCE (RO 94911);AME PARTIELLE (RC 75500017);;
MFP 94911 DE REFERENCE (RO 94911);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP 94911 DE REFERENCE (RO 94911);CMU CPAM (RC 99999997);M;89
MFP 94911 DE REFERENCE (RO 94911);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP 94911 DE REFERENCE (RO 94911);MUTUELLE SORUAL (RC 67100149);;
MFP 94911 DE REFERENCE (RO 94911);MGEN ACCES SANTE (RC 27011000);;
MFP 94911 DE REFERENCE (RO 94911);MMJ (RC 28100000);;
MFP 94911 DE REFERENCE (RO 94911);MMJ (RC 28200000);;
MFP 94911 DE REFERENCE (RO 94911);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP 94911 DE REFERENCE (RO 94911);MMJ (RC 28300000);;
MFP 94921 DE REFERENCE (RO 94921);MMJ (RC 28400000);;
MFP 94921 DE REFERENCE (RO 94921);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP 94921 DE REFERENCE (RO 94921);MMJ (RC 28300000);;
MFP 94921 DE REFERENCE (RO 94921);CMU AUTRES (RC 88888888);M;89
MFP 94921 DE REFERENCE (RO 94921);MUTUELLE SORUAL (RC 67100149);;
MFP 94921 DE REFERENCE (RO 94921);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP 94921 DE REFERENCE (RO 94921);CMU CPAM (RC 99999997);M;89
MFP 94921 DE REFERENCE (RO 94921);CMU SORTANT (RC 55555551);;0
MFP 94921 DE REFERENCE (RO 94921);AME PARTIELLE (RC 75500017);;
MFP 94921 DE REFERENCE (RO 94921);MMJ (RC 28200000);;
MFP 94921 DE REFERENCE (RO 94921);MGEN INTERNATIONALE (RC 27777777);;
MFP 94921 DE REFERENCE (RO 94921);MMJ (RC 28100000);;
MFP 94921 DE REFERENCE (RO 94921);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP 94921 DE REFERENCE (RO 94921);MGEN ACCES SANTE (RC 27011000);;
MFP 94921 DE REFERENCE (RO 94921);MFP MCF RC SEUL (RC 75041758);;
MFP 94921 DE REFERENCE (RO 94921);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP 94931 DE REFERENCE (RO 94931);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP 94931 DE REFERENCE (RO 94931);MMJ (RC 28300000);;
MFP 94931 DE REFERENCE (RO 94931);AME PARTIELLE (RC 75500017);;
MFP 94931 DE REFERENCE (RO 94931);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP 94931 DE REFERENCE (RO 94931);MMJ (RC 28200000);;
MFP 94931 DE REFERENCE (RO 94931);MMJ (RC 28100000);;
MFP 94931 DE REFERENCE (RO 94931);MGEN ACCES SANTE (RC 27011000);;
MFP 94931 DE REFERENCE (RO 94931);MGEN INTERNATIONALE (RC 27777777);;
MFP 94931 DE REFERENCE (RO 94931);CMU CPAM (RC 99999997);M;89
MFP 94931 DE REFERENCE (RO 94931);CMU SORTANT (RC 55555551);;0
MFP 94931 DE REFERENCE (RO 94931);MFP MCF RC SEUL (RC 75041758);;
MFP 94931 DE REFERENCE (RO 94931);CMU AUTRES (RC 88888888);M;89
MFP 94931 DE REFERENCE (RO 94931);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP 94931 DE REFERENCE (RO 94931);MUTUELLE SORUAL (RC 67100149);;
MFP 94931 DE REFERENCE (RO 94931);MMJ (RC 28400000);;
MFP 94931 DE REFERENCE (RO 94931);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP 94941 DE REFERENCE (RO 94941);MMJ (RC 28400000);;
MFP 94941 DE REFERENCE (RO 94941);MMJ (RC 28300000);;
MFP 94941 DE REFERENCE (RO 94941);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP 94941 DE REFERENCE (RO 94941);MMJ (RC 28200000);;
MFP 94941 DE REFERENCE (RO 94941);MGEN ACCES SANTE (RC 27011000);;
MFP 94941 DE REFERENCE (RO 94941);MMJ (RC 28100000);;
MFP 94941 DE REFERENCE (RO 94941);MUTUELLE SORUAL (RC 67100149);;
MFP 94941 DE REFERENCE (RO 94941);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP 94941 DE REFERENCE (RO 94941);CMU CPAM (RC 99999997);M;89
MFP 94941 DE REFERENCE (RO 94941);MFP MCF RC SEUL (RC 75041758);;
MFP 94941 DE REFERENCE (RO 94941);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP 94941 DE REFERENCE (RO 94941);AME PARTIELLE (RC 75500017);;
MFP 94941 DE REFERENCE (RO 94941);CMU SORTANT (RC 55555551);;0
MFP 94941 DE REFERENCE (RO 94941);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP 94941 DE REFERENCE (RO 94941);MGEN INTERNATIONALE (RC 27777777);;
MFP 94941 DE REFERENCE (RO 94941);CMU AUTRES (RC 88888888);M;89
MFP 94951 DE REFERENCE (RO 94951);CMU AUTRES (RC 88888888);M;89
MFP 94951 DE REFERENCE (RO 94951);AME PARTIELLE (RC 75500017);;
MFP 94951 DE REFERENCE (RO 94951);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MFP 94951 DE REFERENCE (RO 94951);MMJ (RC 28300000);;
MFP 94951 DE REFERENCE (RO 94951);MMJ (RC 28200000);;
MFP 94951 DE REFERENCE (RO 94951);MGEN SANTE PREVOYANCE (RC 27200000);;
MFP 94951 DE REFERENCE (RO 94951);MMJ (RC 28100000);;
MFP 94951 DE REFERENCE (RO 94951);ACS CONTRAT A - BASE (RC 11111119);M;91
MFP 94951 DE REFERENCE (RO 94951);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MFP 94951 DE REFERENCE (RO 94951);MUTUELLE SORUAL (RC 67100149);;
MFP 94951 DE REFERENCE (RO 94951);MFP MCF RC SEUL (RC 75041758);;
MFP 94951 DE REFERENCE (RO 94951);CMU CPAM (RC 99999997);M;89
MFP 94951 DE REFERENCE (RO 94951);MGEN ACCES SANTE (RC 27011000);;
MFP 94951 DE REFERENCE (RO 94951);CMU SORTANT (RC 55555551);;0
MFP 94951 DE REFERENCE (RO 94951);MGEN INTERNATIONALE (RC 27777777);;
MFP 94951 DE REFERENCE (RO 94951);MMJ (RC 28400000);;
MGEL COLMAR (RO 996810617);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEL COLMAR (RO 996810617);SMEREP ILE DE FRANCE (RC 75149757);;
MGEL COLMAR (RO 996810617);MGEN INTERNATIONALE (RC 27777777);;
MGEL COLMAR (RO 996810617);AME PARTIELLE (RC 75500017);;
MGEL COLMAR (RO 996810617);MUTUELLE SORUAL (RC 67100149);;
MGEL COLMAR (RO 996810617);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEL COLMAR (RO 996810617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEL COLMAR (RO 996810617);MGEN ACCES SANTE (RC 27011000);;
MGEL COLMAR (RO 996810617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEL COLMAR (RO 996810617);CMU AUTRES (RC 88888888);M;89
MGEL COLMAR (RO 996810617);CMU CPAM (RC 99999997);M;89
MGEL EPINAL (RO 998810617);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEL EPINAL (RO 998810617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEL EPINAL (RO 998810617);AME PARTIELLE (RC 75500017);;
MGEL EPINAL (RO 998810617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEL EPINAL (RO 998810617);CMU CPAM (RC 99999997);M;89
MGEL EPINAL (RO 998810617);CMU AUTRES (RC 88888888);M;89
MGEL EPINAL (RO 998810617);MGEN ACCES SANTE (RC 27011000);;
MGEL EPINAL (RO 998810617);SMEREP ILE DE FRANCE (RC 75149757);;
MGEL EPINAL (RO 998810617);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEL EPINAL (RO 998810617);MGEN INTERNATIONALE (RC 27777777);;
MGEL EPINAL (RO 998810617);MUTUELLE SORUAL (RC 67100149);;
MGEL LONGWY (RO 995410617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEL LONGWY (RO 995410617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEL LONGWY (RO 995410617);MGEN INTERNATIONALE (RC 27777777);;
MGEL LONGWY (RO 995410617);MGEN ACCES SANTE (RC 27011000);;
MGEL LONGWY (RO 995410617);AME PARTIELLE (RC 75500017);;
MGEL LONGWY (RO 995410617);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEL LONGWY (RO 995410617);CMU CPAM (RC 99999997);M;89
MGEL LONGWY (RO 995410617);CMU AUTRES (RC 88888888);M;89
MGEL LONGWY (RO 995410617);SMEREP ILE DE FRANCE (RC 75149757);;
MGEL LONGWY (RO 995410617);MUTUELLE SORUAL (RC 67100149);;
MGEL LONGWY (RO 995410617);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEL METZ (RO 995710617);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEL METZ (RO 995710617);MUTUELLE SORUAL (RC 67100149);;
MGEL METZ (RO 995710617);SMEREP ILE DE FRANCE (RC 75149757);;
MGEL METZ (RO 995710617);CMU AUTRES (RC 88888888);M;89
MGEL METZ (RO 995710617);CMU CPAM (RC 99999997);M;89
MGEL METZ (RO 995710617);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEL METZ (RO 995710617);AME PARTIELLE (RC 75500017);;
MGEL METZ (RO 995710617);MGEN ACCES SANTE (RC 27011000);;
MGEL METZ (RO 995710617);MGEN INTERNATIONALE (RC 27777777);;
MGEL METZ (RO 995710617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEL METZ (RO 995710617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEL MULHOUSE (RO 996820617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEL MULHOUSE (RO 996820617);MUTUELLE SORUAL (RC 67100149);;
MGEL MULHOUSE (RO 996820617);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEL MULHOUSE (RO 996820617);SMEREP ILE DE FRANCE (RC 75149757);;
MGEL MULHOUSE (RO 996820617);CMU AUTRES (RC 88888888);M;89
MGEL MULHOUSE (RO 996820617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEL MULHOUSE (RO 996820617);AME PARTIELLE (RC 75500017);;
MGEL MULHOUSE (RO 996820617);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEL MULHOUSE (RO 996820617);MGEN INTERNATIONALE (RC 27777777);;
MGEL MULHOUSE (RO 996820617);MGEN ACCES SANTE (RC 27011000);;
MGEL MULHOUSE (RO 996820617);CMU CPAM (RC 99999997);M;89
MGEL NANCY (RO 995420617);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEL NANCY (RO 995420617);MUTUELLE SORUAL (RC 67100149);;
MGEL NANCY (RO 995420617);SMEREP ILE DE FRANCE (RC 75149757);;
MGEL NANCY (RO 995420617);CMU AUTRES (RC 88888888);M;89
MGEL NANCY (RO 995420617);CMU CPAM (RC 99999997);M;89
MGEL NANCY (RO 995420617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEL NANCY (RO 995420617);AME PARTIELLE (RC 75500017);;
MGEL NANCY (RO 995420617);MGEN ACCES SANTE (RC 27011000);;
MGEL NANCY (RO 995420617);MGEN INTERNATIONALE (RC 27777777);;
MGEL NANCY (RO 995420617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEL NANCY (RO 995420617);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEL REIMS (RO 995110617);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEL REIMS (RO 995110617);MUTUELLE SORUAL (RC 67100149);;
MGEL REIMS (RO 995110617);SMEREP ILE DE FRANCE (RC 75149757);;
MGEL REIMS (RO 995110617);CMU AUTRES (RC 88888888);M;89
MGEL REIMS (RO 995110617);CMU CPAM (RC 99999997);M;89
MGEL REIMS (RO 995110617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEL REIMS (RO 995110617);AME PARTIELLE (RC 75500017);;
MGEL REIMS (RO 995110617);MGEN ACCES SANTE (RC 27011000);;
MGEL REIMS (RO 995110617);MGEN INTERNATIONALE (RC 27777777);;
MGEL REIMS (RO 995110617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEL REIMS (RO 995110617);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEL SARREGUEMINES (RO 995720617);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEL SARREGUEMINES (RO 995720617);MUTUELLE SORUAL (RC 67100149);;
MGEL SARREGUEMINES (RO 995720617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEL SARREGUEMINES (RO 995720617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEL SARREGUEMINES (RO 995720617);MGEN INTERNATIONALE (RC 27777777);;
MGEL SARREGUEMINES (RO 995720617);MGEN ACCES SANTE (RC 27011000);;
MGEL SARREGUEMINES (RO 995720617);AME PARTIELLE (RC 75500017);;
MGEL SARREGUEMINES (RO 995720617);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEL SARREGUEMINES (RO 995720617);CMU CPAM (RC 99999997);M;89
MGEL SARREGUEMINES (RO 995720617);CMU AUTRES (RC 88888888);M;89
MGEL SARREGUEMINES (RO 995720617);SMEREP ILE DE FRANCE (RC 75149757);;
MGEL SELESTAT (RO 996720617);MGEN ACCES SANTE (RC 27011000);;
MGEL SELESTAT (RO 996720617);MUTUELLE SORUAL (RC 67100149);;
MGEL SELESTAT (RO 996720617);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEL SELESTAT (RO 996720617);SMEREP ILE DE FRANCE (RC 75149757);;
MGEL SELESTAT (RO 996720617);CMU AUTRES (RC 88888888);M;89
MGEL SELESTAT (RO 996720617);MGEN INTERNATIONALE (RC 27777777);;
MGEL SELESTAT (RO 996720617);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEL SELESTAT (RO 996720617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEL SELESTAT (RO 996720617);AME PARTIELLE (RC 75500017);;
MGEL SELESTAT (RO 996720617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEL SELESTAT (RO 996720617);CMU CPAM (RC 99999997);M;89
MGEL STRASBOURG (RO 996730617);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEL STRASBOURG (RO 996730617);MUTUELLE SORUAL (RC 67100149);;
MGEL STRASBOURG (RO 996730617);SMEREP ILE DE FRANCE (RC 75149757);;
MGEL STRASBOURG (RO 996730617);AME PARTIELLE (RC 75500017);;
MGEL STRASBOURG (RO 996730617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEL STRASBOURG (RO 996730617);CMU AUTRES (RC 88888888);M;89
MGEL STRASBOURG (RO 996730617);MGEN ACCES SANTE (RC 27011000);;
MGEL STRASBOURG (RO 996730617);CMU CPAM (RC 99999997);M;89
MGEL STRASBOURG (RO 996730617);MGEN INTERNATIONALE (RC 27777777);;
MGEL STRASBOURG (RO 996730617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEL STRASBOURG (RO 996730617);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEL THIONVILLE (RO 995730617);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEL THIONVILLE (RO 995730617);MUTUELLE SORUAL (RC 67100149);;
MGEL THIONVILLE (RO 995730617);SMEREP ILE DE FRANCE (RC 75149757);;
MGEL THIONVILLE (RO 995730617);CMU AUTRES (RC 88888888);M;89
MGEL THIONVILLE (RO 995730617);CMU CPAM (RC 99999997);M;89
MGEL THIONVILLE (RO 995730617);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEL THIONVILLE (RO 995730617);AME PARTIELLE (RC 75500017);;
MGEL THIONVILLE (RO 995730617);MGEN ACCES SANTE (RC 27011000);;
MGEL THIONVILLE (RO 995730617);MGEN INTERNATIONALE (RC 27777777);;
MGEL THIONVILLE (RO 995730617);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEL THIONVILLE (RO 995730617);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEN AIN (RO 91011);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEN AIN (RO 91011);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEN AIN (RO 91011);MGEN ACCES SANTE (RC 27011000);;
MGEN AIN (RO 91011);MUTUELLE SORUAL (RC 67100149);;
MGEN AIN (RO 91011);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEN AIN (RO 91011);CMU CPAM (RC 99999997);M;89
MGEN AIN (RO 91011);MGEN INTERNATIONALE (RC 27777777);;
MGEN AIN (RO 91011);MGEN RC VITALE (RC 27001002);;
MGEN AIN (RO 91011);MGEN RC VITALE (RC 27001001);;
MGEN AIN (RO 91011);CMU AUTRES (RC 88888888);M;89
MGEN AIN (RO 91011);CMU SORTANT (RC 55555551);;0
MGEN AIN (RO 91011);AME PARTIELLE (RC 75500017);;
MGEN AIN (RO 91011);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEN AIN (RO 91011);MGEN RC (RC 75044075);;
MGEN AIN (RO 91011);MGEN RC VITALE (RC 27000000);;
MGEN AISNE (RO 91021);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEN AISNE (RO 91021);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEN AISNE (RO 91021);CMU AUTRES (RC 88888888);M;89
MGEN AISNE (RO 91021);MGEN INTERNATIONALE (RC 27777777);;
MGEN AISNE (RO 91021);CMU SORTANT (RC 55555551);;0
MGEN AISNE (RO 91021);MUTUELLE SORUAL (RC 67100149);;
MGEN AISNE (RO 91021);AME PARTIELLE (RC 75500017);;
MGEN AISNE (RO 91021);MGEN RC VITALE (RC 27001001);;
MGEN AISNE (RO 91021);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEN AISNE (RO 91021);MGEN RC VITALE (RC 27001002);;
MGEN AISNE (RO 91021);MGEN RC (RC 75044075);;
MGEN AISNE (RO 91021);CMU CPAM (RC 99999997);M;89
MGEN AISNE (RO 91021);MGEN RC VITALE (RC 27000000);;
MGEN AISNE (RO 91021);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEN AISNE (RO 91021);MGEN ACCES SANTE (RC 27011000);;
MGEN ALLIER (RO 91031);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEN ALLIER (RO 91031);MGEN RC VITALE (RC 27001002);;
MGEN ALLIER (RO 91031);CMU AUTRES (RC 88888888);M;89
MGEN ALLIER (RO 91031);MGEN ACCES SANTE (RC 27011000);;
MGEN ALLIER (RO 91031);CMU SORTANT (RC 55555551);;0
MGEN ALLIER (RO 91031);AME PARTIELLE (RC 75500017);;
MGEN ALLIER (RO 91031);MGEN RC VITALE (RC 27000000);;
MGEN ALLIER (RO 91031);MUTUELLE SORUAL (RC 67100149);;
MGEN ALLIER (RO 91031);MGEN INTERNATIONALE (RC 27777777);;
MGEN ALLIER (RO 91031);MGEN RC (RC 75044075);;
MGEN ALLIER (RO 91031);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEN ALLIER (RO 91031);MGEN RC VITALE (RC 27001001);;
MGEN ALLIER (RO 91031);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEN ALLIER (RO 91031);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEN ALLIER (RO 91031);CMU CPAM (RC 99999997);M;89
MGEN ALPES DE HAUTE PROVE (RO 91041);CMU AUTRES (RC 88888888);M;89
MGEN ALPES DE HAUTE PROVE (RO 91041);CMU SORTANT (RC 55555551);;0
MGEN ALPES DE HAUTE PROVE (RO 91041);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEN ALPES DE HAUTE PROVE (RO 91041);MGEN RC (RC 75044075);;
MGEN ALPES DE HAUTE PROVE (RO 91041);MGEN RC VITALE (RC 27000000);;
MGEN ALPES DE HAUTE PROVE (RO 91041);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEN ALPES DE HAUTE PROVE (RO 91041);AME PARTIELLE (RC 75500017);;
MGEN ALPES DE HAUTE PROVE (RO 91041);MGEN ACCES SANTE (RC 27011000);;
MGEN ALPES DE HAUTE PROVE (RO 91041);MUTUELLE SORUAL (RC 67100149);;
MGEN ALPES DE HAUTE PROVE (RO 91041);CMU CPAM (RC 99999997);M;89
MGEN ALPES DE HAUTE PROVE (RO 91041);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEN ALPES DE HAUTE PROVE (RO 91041);MGEN INTERNATIONALE (RC 27777777);;
MGEN ALPES DE HAUTE PROVE (RO 91041);MGEN RC VITALE (RC 27001001);;
MGEN ALPES DE HAUTE PROVE (RO 91041);MGEN RC VITALE (RC 27001002);;
MGEN ALPES DE HAUTE PROVE (RO 91041);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEN ALPES MARITIMES (RO 91061);MGEN RC VITALE (RC 27000000);;
MGEN ALPES MARITIMES (RO 91061);CMU AUTRES (RC 88888888);M;89
MGEN ALPES MARITIMES (RO 91061);MGEN INTERNATIONALE (RC 27777777);;
MGEN ALPES MARITIMES (RO 91061);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEN ALPES MARITIMES (RO 91061);AME PARTIELLE (RC 75500017);;
MGEN ALPES MARITIMES (RO 91061);CMU SORTANT (RC 55555551);;0
MGEN ALPES MARITIMES (RO 91061);MGEN RC VITALE (RC 27001001);;
MGEN ALPES MARITIMES (RO 91061);CMU CPAM (RC 99999997);M;89
MGEN ALPES MARITIMES (RO 91061);MGEN RC (RC 75044075);;
MGEN ALPES MARITIMES (RO 91061);MGEN RC VITALE (RC 27001002);;
MGEN ALPES MARITIMES (RO 91061);MUTUELLE SORUAL (RC 67100149);;
MGEN ALPES MARITIMES (RO 91061);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEN ALPES MARITIMES (RO 91061);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
MGEN ALPES MARITIMES (RO 91061);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEN ALPES MARITIMES (RO 91061);MGEN ACCES SANTE (RC 27011000);;
MGEN ANNONAY (RO 91071);CMU SORTANT (RC 55555551);;0
MGEN ANNONAY (RO 91071);MGEN ACCES SANTE (RC 27011000);;
MGEN ANNONAY (RO 91071);ACS CONTRAT A - BASE (RC 11111119);M;91
MGEN ANNONAY (RO 91071);MGEN RC VITALE (RC 27000000);;
MGEN ANNONAY (RO 91071);MGEN RC (RC 75044075);;
MGEN ANNONAY (RO 91071);ACS CONTRAT C - PREMIUM (RC 33333337);M;93
MGEN ANNONAY (RO 91071);CMU AUTRES (RC 88888888);M;89
MGEN ANNONAY (RO 91071);MGEN RC VITALE (RC 27001002);;
MGEN ANNONAY (RO 91071);MGEN RC VITALE (RC 27001001);;
MGEN ANNONAY (RO 91071);MGEN INTERNATIONALE (RC 27777777);;
MGEN ANNONAY (RO 91071);MGEN SANTE PREVOYANCE (RC 27200000);;
MGEN ANNONAY (RO 91071);CMU CPAM (RC 99999997);M;89
MGEN ANNONAY (RO 91071);ACS CONTRAT B - MEDIUM (RC 22222228);M;92
